Winery,Wine name,Vintage,Region,Country,Regional wine style,Average rating,Scan date,Scan Location,Your rating,Your price,Your review,Personal note,Wine type,Drinking window,Food pairing,Link to wine,Label image,Bottles in cellar
Von Winning,Deidesheimer Kalkofen GG,2016,Pfalz,Germany,German Riesling,4.1,2019-05-09 19:07,"",Not given,Unknown,"","",White Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/150487426,https://images.vivino.com/labels/4_Yb3_jcQK-YxJ6zQ3qeYQ.jpg,2
Faiveley,Mercurey La Framboisière,2017,Mercurey,France,Burgundy Côte Chalonnaise Red,4.0,2019-05-09 18:06,"",Not given,Unknown,"","",Red Wine,"","Beef, Veal, Game (deer, venison), Poultry",https://www.vivino.com/wines/152250176,https://images.vivino.com/labels/M4CcLEZ8R_-9Iy8rjjRi0Q.jpg,2
Prunotto,Barolo,2012,Barolo,Italy,Italian Barolo,3.9,2019-05-09 18:06,"",Not given,Unknown,"","",Red Wine,"","Beef, Pasta, Lamb, Game (deer, venison)",https://www.vivino.com/wines/2346038,https://images.vivino.com/labels/HFIbYqZxSpCKeT-aH-senA.jpg,1
CastelGiocondo,Brunello di Montalcino,2013,Brunello di Montalcino,Italy,Italian Brunello,4.2,2019-05-09 18:06,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Poultry",https://www.vivino.com/wines/1911164,https://images.vivino.com/labels/1KU3cIl-Rsqf47RKvWM9jg.jpg,2
La Rioja Alta,Rioja Gran Reserva 904,2009,Rioja,Spain,Spanish Rioja Red,4.4,2019-05-09 17:05,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Veal, Poultry",https://www.vivino.com/wines/2085494,https://images.vivino.com/labels/GJg1y8LHQ6aCbLtHdFkBCw.jpg,1
Clos des Brusquieres,Châteauneuf-du-Pape,2016,Châteauneuf-du-Pape,France,Southern Rhône Châteauneuf-du-Pape Red,4.2,2019-05-02 19:07,"",Not given,Unknown,"","",Red Wine,"","Lamb, Pork, Poultry",https://www.vivino.com/wines/142485449,https://images.vivino.com/labels/iLz7WbsnQSa-TjQdivIHWQ.jpg,2
Domaine Zind Humbrecht,Riesling Alsace Grand Cru  Brand,2017,Alsace Grand Cru,France,Alsace Riesling,4.3,2019-05-02 19:07,"",Not given,Unknown,"","",White Wine,"","Pork, Rich fish (salmon, tuna etc), Spicy food, Vegetarian, Cured Meat",https://www.vivino.com/wines/153172124,https://images.vivino.com/labels/qD5s88gDRO645FnF2bnQWQ.jpg,6
Von Winning,Deidesheimer Kalkofen GG,2015,Pfalz,Germany,German Riesling,4.2,2019-04-20 18:06,"",Not given,Unknown,"","",White Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/94640635,"",2
Château Musar,Rouge (Gaston Hochar),2006,Bekaa Valley,Lebanon,,4.3,2019-04-06 22:10,"",4.5,Unknown,"Magnum til lammesteik. 

Mørk mursteinsrød, litt lys i kantene.

Fortsatt mye frukt med kirsebær, bjørnebær og plomme. Og så kommer sekundæraromaene med sigarboks og lær. Stram og god i munnen, med masse smak og fin lengde.

Balanserer seg veldig god etter ca en times lufting, men har en veldig gøy syre rett fra flaska.

Luftet halvparten i dekanter, artig å smake den luftede mot den fra flaska, enorm forskjell!

91p","",Red Wine,"","Beef, Lamb, Spicy food, Mature and hard cheese, Poultry",https://www.vivino.com/wines/1449590,https://images.vivino.com/labels/InOfmPiDRwSGOHv6iV40bw.jpg,5
Weiser-Künstler,Enkircher Ellergrub Riesling Auslese,2017,Mosel,Germany,German Riesling,4.2,2019-04-06 11:11,"",Not given,Unknown,"","",Dessert Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/157512879,https://images.vivino.com/labels/sBhN9pOgSr61iwoe5ZrU1g.jpg,1
Bonny Doon,Le Pousseur Syrah,2012,Central Coast,United States,Californian Syrah,3.7,2019-04-06 11:11,"",Not given,Unknown,"","",Red Wine,"","Beef, Lamb, Game (deer, venison), Poultry",https://www.vivino.com/wines/4599265,https://images.vivino.com/labels/BDxHf2pHRXS4-OeQSrSKpQ.jpg,1
Sandhi,Sta. Rita Hills Chardonnay,2016,Sta. Rita Hills,United States,Californian Chardonnay,4.3,2019-04-06 11:11,"",Not given,Unknown,"","",White Wine,"","Pork, Rich fish (salmon, tuna etc), Vegetarian, Poultry",https://www.vivino.com/wines/156913891,https://images.vivino.com/labels/XcVtzPIqQHCS6J2u82F_1g.jpg,1
Schloss Lieser,Himmelreich Riesling GG,2017,Mosel,Germany,German Riesling,4.1,2019-04-06 10:10,"",Not given,Unknown,"","",White Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/158099580,https://images.vivino.com/labels/lmQwxig1QVK2dKlzIPZHGg.jpg,2
Georg Mosbacher,Jesuitengarten GG,2017,Pfalz,Germany,German Riesling,4.3,2019-04-06 10:10,"",Not given,Unknown,"","",White Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/157186548,https://images.vivino.com/labels/DHJAByS-Q4urrUwXcdWk-g.jpg,1
Dönnhoff,Dellchen Riesling GG,2017,Nahe,Germany,German Riesling,4.3,2019-04-06 10:10,"",Not given,Unknown,"","",White Wine,"","Pork, Shellfish, Spicy food, Poultry, Cured Meat",https://www.vivino.com/wines/156760773,https://images.vivino.com/labels/NWWxk5o8TvyYJ3fv8xfwPg.jpg,2
